stage	date	truckID	shift	digblock	flitch	materialType	sp	tonnesTruck	planGrade	dilutedGrade	grabSample	ounces	comments
1	8/19/25	DT134	D	CPO_1_4825_0063_MW_001	4825	MW	MW SP	80	0.452696952	0.45	0.00	1	
1	8/20/25	DT05	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	
1	8/20/25	DT05	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	
1	8/20/25	DT05	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	
1	8/20/25	DT07	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	
1	8/20/25	DT07	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	
1	8/20/25	DT07	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	
1	8/20/25	DT100	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	
1	8/20/25	DT100	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	
1	8/20/25	DT100	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	
1	8/20/25	DT108	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	Trucks lower than usual, Mine 2 said over comms*
1	8/20/25	DT108	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	*
1	8/21/25	DT105	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	*
1	8/21/25	DT105	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	*
1	8/21/25	DT105	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	*
1	8/21/25	DT105	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	*
1	8/21/25	DT105	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	*
1	8/21/25	DT105	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	*
1	8/21/25	DT105	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	*
1	8/21/25	DT105	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	*
1	8/21/25	DT107	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	*
1	8/21/25	DT107	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	*
1	8/21/25	DT107	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	*
1	8/21/25	DT107	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	*
1	8/21/25	DT108	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	*
1	8/21/25	DT108	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	*
1	8/21/25	DT108	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	*
1	8/21/25	DT108	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	*
1	8/21/25	DT108	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	*
1	8/21/25	DT108	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	*
1	8/21/25	DT131	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	80	3.130818168	3.13	0.00	8	*
1	8/21/25	DT005	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	240	3.130818168	3.13	0.00	24	
1	8/21/25	DT108	D	CPO_1_4800_0043_HG_001	4800	HG	Delta	160	3.130818168	3.13	0.00	16	
1	8/21/25	DT108	D	CPO_1_4800_0043_LG_004	4800	LG	LG7	80	0.531639699	0.53	0.00	1	
1	8/21/25	DT005	D	CPO_1_4800_0043_LG_004	4800	LG	LG7	80	0.531639699	0.53	0.00	1	
1	8/21/25	DT005	D	CPO_1_4800_0043_LG_002	4800	LG	LG7	160	0.879837666	0.88	0.00	5	
1	8/21/25	DT108	D	CPO_1_4800_0043_LG_002	4800	LG	LG7	80	0.879837666	0.88	0.00	2	
1	8/21/25	DT108	D	CPO_1_4800_0043_LG_001	4800	LG	LG7	80	0.717711877	0.72	0.00	2	
